Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,23905615;-78,51046108;18;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;31/3/2023;ENCONTRADO;28/4/2023
PICHINCHA;-0,25876763;-78,55811298;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/3/2023;ENCONTRADO;2/4/2023
GUAYAS;-2,2433865;-79,8895317;77;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/3/2023;ENCONTRADO;26/3/2023
PICHINCHA;-0,2061797;-78,5008136;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/3/2023;ENCONTRADO;18/3/2023
TUNGURAHUA;-1,3128375;-78,5064473;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;13/3/2023
CHIMBORAZO;-1,67127269;-78,653761;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/3/2023;ENCONTRADO;13/3/2023
PICHINCHA;-0,1806532;-78,4678382;2;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/4/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,31421989;-79,29798491;28;HOMBRE;SIN_DATO;SIN_DATO;13/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-1,87445;-80,08497;27;HOMBRE;FALLECIDO;NO DETERMINADA;10/3/2023;FALLECIDO;15/3/2023
GUAYAS;-2,1690192;-79,8058407;25;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/4/2023;ENCONTRADO;2/5/2023
PICHINCHA;-0,2803692;-78,5412403;34;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;30/3/2023
PICHINCHA;-0,1407541;-78,4794568;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/2/2023;ENCONTRADO;15/3/2023
EL ORO;-3,47024269;-79,90476608;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;7/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,1421389;-79,59145211;25;HOMBRE;FALLECIDO;ACCIDENTAL;28/4/2023;FALLECIDO;1/5/2023
IMBABURA;0,36012314;-78,09260654;1;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/4/2023;ENCONTRADO;4/4/2023
IMBABURA;0,34548863;-78,12106301;16;HOMBRE;SIN_DATO;SIN_DATO;1/4/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,25881966;-79,9593231;20;HOMBRE;SIN_DATO;SIN_DATO;30/4/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1114513;-78,432246;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/4/2023;ENCONTRADO;7/4/2023
PICHINCHA;-0,2331962;-78,5323021;1;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/4/2023;ENCONTRADO;5/5/2023
SANTA ELENA;-1,7596823;-80,7699552;81;MUJER;SIN_DATO;SIN_DATO;23/4/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,16212729;-79,8435145;14;MUJER;SIN_DATO;SIN_DATO;4/4/2023;DESAPARECIDO;SIN_DATO
CARCHI;0,82232453;-77,70438416;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/4/2023;ENCONTRADO;3/5/2023
GUAYAS;-2,242985;-79,9189204;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/1/2023;ENCONTRADO;6/4/2023
PICHINCHA;0,0045685;-78,4467745;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/2/2023;ENCONTRADO;6/4/2023
GUAYAS;-2,14728668;-79,88481739;26;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,14728668;-79,88481739;25;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
GUAYAS;-2,14728668;-79,88481739;6;MUJER;PROBLEMAS SOCIALES;MIGRACION;10/3/2023;ENCONTRADO;10/5/2023
PICHINCHA;-0,2582261;-78,5260302;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/4/2023;ENCONTRADO;4/5/2023
PICHINCHA;-0,10138997;-78,46988352;39;MUJER;SIN_DATO;SIN_DATO;20/4/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,155602;-78,3728456;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/4/2023;ENCONTRADO;2/5/2023
EL ORO;-3,26935304;-79,95556263;11;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/4/2023;ENCONTRADO;7/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2127289;-79,1369546;21;HOMBRE;SIN_DATO;SIN_DATO;29/4/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,71068857;-80,2473357;43;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;28/4/2023;ENCONTRADO;7/5/2023
EL ORO;-3,23853845;-79,95169898;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/4/2023;ENCONTRADO;8/5/2023
EL ORO;-3,33013517;-79,81085658;29;HOMBRE;EXTRAVIADA;ACCIDENTADO;29/4/2023;ENCONTRADO;4/5/2023
PICHINCHA;-0,2686367;-78,5400834;18;HOMBRE;SIN_DATO;SIN_DATO;16/2/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,93972373;-78,60730939;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;7/4/2023;ENCONTRADO;9/4/2023
COTOPAXI;-0,9254446;-78,62030673;6;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/4/2023;ENCONTRADO;7/4/2023
SANTO DOMINGO DE LOS TSACHILAS;0,0068737;-79,38423143;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/4/2023;ENCONTRADO;6/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25895888;-79,18070545;40;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/3/2023;ENCONTRADO;11/4/2023
SANTA ELENA;-2,22726954;-80,90266186;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/2/2023;ENCONTRADO;11/4/2023
ESMERALDAS;0,90063463;-79,69350827;14;MUJER;SIN_DATO;SIN_DATO;9/4/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,25919634;-79,19594385;24;HOMBRE;SIN_DATO;SIN_DATO;30/4/2023;DESAPARECIDO;SIN_DATO
CARCHI;0,6340391;-77,7337628;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/4/2023;ENCONTRADO;11/4/2023
SUCUMBIOS;0,09918804;-76,88309669;13;HOMBRE;SIN_DATO;SIN_DATO;27/4/2023;DESAPARECIDO;SIN_DATO
ORELLANA;-0,4616728;-76,9931074;15;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;3/4/2023;ENCONTRADO;11/4/2023
COTOPAXI;-1,03443261;-78,58218155;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/4/2023;ENCONTRADO;17/4/2023
SANTA ELENA;-2,241402;-80,887382;15;MUJER;SIN_DATO;SIN_DATO;21/4/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,2601233;-79,1748467;32;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/1/2023;ENCONTRADO;7/4/2023
MORONA SANTIAGO;-2,30501622;-78,12276321;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/4/2023;ENCONTRADO;14/4/2023
LOS RIOS;-0,9943373;-79,473904;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/4/2023;ENCONTRADO;18/4/2023
LOS RIOS;-1,0395683;-79,4569217;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/4/2023;ENCONTRADO;18/4/2023
CARCHI;0,5948949;-77,8281514;78;HOMBRE;SIN_DATO;SIN_DATO;1/4/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,2313345;-79,1730018;23;MUJER;SIN_DATO;SIN_DATO;26/3/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,2313345;-79,1730018;5;MUJER;SIN_DATO;SIN_DATO;26/3/2023;DESAPARECIDO;SIN_DATO
PASTAZA;-1,4840175;-78,0103037;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/4/2023;ENCONTRADO;12/4/2023
PICHINCHA;-0,210691;-78,3955986;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/4/2023;ENCONTRADO;13/4/2023
PICHINCHA;-0,1670362;-78,3187871;3;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/4/2023;ENCONTRADO;12/4/2023
PICHINCHA;-0,1670362;-78,3187871;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/4/2023;ENCONTRADO;12/4/2023
GUAYAS;-2,2402791;-79,9220686;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/2/2023;ENCONTRADO;9/5/2023
PICHINCHA;-0,2797677;-78,5149691;9;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/4/2023;ENCONTRADO;13/4/2023
GUAYAS;-2,13120408;-79,93819039;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/2/2023;ENCONTRADO;13/4/2023
GUAYAS;-2,1323186;-79,8926809;28;HOMBRE;SIN_DATO;SIN_DATO;25/4/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,11363244;-78,47889766;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/4/2023;ENCONTRADO;16/4/2023
ORELLANA;-0,4616728;-76,9931074;15;MUJER;PROBLEMAS SOCIALES;DROGADICCION;30/4/2023;ENCONTRADO;12/5/2023
EL ORO;-3,2427013;-79,8281173;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/4/2023;ENCONTRADO;12/5/2023
LOS RIOS;-1,56068095;-79,75473404;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/1/2023;ENCONTRADO;20/1/2023
PICHINCHA;-0,1670362;-78,3187871;21;HOMBRE;SIN_DATO;SIN_DATO;29/1/2023;DESAPARECIDO;SIN_DATO
MORONA SANTIAGO;-2,30535927;-78,12207657;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/3/2023;ENCONTRADO;11/5/2023
PICHINCHA;-0,2575728;-78,5164078;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/1/2023;ENCONTRADO;20/1/2023
MANABI;-1,39584253;-80,20675993;17;MUJER;SIN_DATO;SIN_DATO;9/1/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,23921211;-79,19130244;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/2/2023;ENCONTRADO;28/2/2023
CAÑAR;-2,74420725;-78,8606357;15;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;3/1/2023;ENCONTRADO;25/1/2023
PICHINCHA;-0,0936241;-78,5060973;46;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/1/2023;ENCONTRADO;25/1/2023
PICHINCHA;-0,0795398;-78,4485114;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,327644;-78,5673547;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/2/2023;ENCONTRADO;28/2/2023
COTOPAXI;-0,90607243;-78,70018485;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,264079;-78,535255;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/2/2023;ENCONTRADO;14/3/2023
AZUAY;-2,92674978;-79,05076146;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/2/2023;ENCONTRADO;16/3/2023
PICHINCHA;-0,0875297;-78,4689224;78;HOMBRE;SIN_DATO;SIN_DATO;16/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,33517501;-79,40269799;40;HOMBRE;SIN_DATO;SIN_DATO;5/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1207097;-78,5114185;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/2/2023;ENCONTRADO;1/3/2023
PASTAZA;-1,91231652;-77,71695361;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/1/2023;ENCONTRADO;29/1/2023
LOS RIOS;-0,992388;-79,47287;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,2690044;-78,54018689;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/3/2023;ENCONTRADO;16/3/2023
ESMERALDAS;0,90253514;-79,68485017;22;HOMBRE;FALLECIDO;ASESINATO;3/3/2023;FALLECIDO;5/3/2023
MANABI;-0,35123859;-79,60800961;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/2/2023;ENCONTRADO;1/3/2023
